accession	strain
FJ472962	03-271/Stuttgart/DEU
FJ472963	03-280/Stuttgart/DEU
FJ472964	04-275/Ulm/DEU
FJ472965	06-180/Berlin/DEU
FJ472966	07-63/Ulm/DEU
FJ472967	07-66/Muenchen/DEU
FJ472968	07-129/Ulm/DEU
FJ472969	07-188/Muenchen/DEU
FJ472970	07-329/Ulm/DEU
FJ472971	07-435/Stuttgart/DEU
FJ472972	07-466/Dresden/DEU
FJ472973	07-352/Stuttgart/DEU
FJ525952	CSF-2431/08
FJ542815	FJ542815
FJ542816	FJ542816
FJ542817	FJ542817
FJ542818	FJ542818
FJ556873	THA-08-29778
FJ556874	THA-08-29961
FJ556875	THA-08-33951
FJ594472	JN16/SD
FJ594473	JN1/SD/08
FJ594474	JN2/SD/08
FJ594475	JN59/SD/08
FJ594956	ZJ001
FJ598101	China/GD187/2008
FJ598102	China/GD133/2008
FJ598103	China/GD117/2008
FJ598104	China/GD16/2008
FJ598105	China/GD17/2008
FJ598106	China/GD182/2008
FJ598107	China/GD27/2008
FJ598108	China/GD11/2008
FJ598109	China/GD37/2008
FJ598110	China/GD35/2008
FJ598111	China/GD7/2008
FJ600325	EV71/Jiangsu.P.R.C/07.08/10
FJ606447	BJ08-Z004-3
FJ606448	BJ08-Z011-4
FJ606449	BJ08-Z020-1
FJ606450	BJ08-Z025-5
FJ607334	1/SHENZHEN/08/China/HFMD/2008
FJ607335	4/SHENZHEN/08/China/HFMD/2008
FJ607336	28/SHENZHEN/08/China/HFMD/2008
FJ607337	121/SHENZHEN/08/China/HFMD Fatal/2008
FJ607338	605/SHENZHEN/08/China/HFMD Severe/2008
FJ713137	Shanghai 036-2009
FJ765416	542-Anhui-08
FJ765417	549-Anhui-08
FJ765418	552-Anhui-08
FJ765419	559-Anhui-08
FJ765420	562-Anhui-08
FJ765421	566-Anhui-08
FJ765422	BJCDC01-08
FJ765423	BJCDC03-08
FJ765424	CC01-08
FJ765425	kunming24-08
FJ765426	kunming29-08
FJ765427	kunming41-08
FJ765428	SZ-A-08
FJ765429	SZ-C-08
FJ765430	SZ-H-08
FJ765431	WH-2-08
FJ765432	WH-3-08
FJ765433	WH-4-08
FJ765434	WH-8-08
FJ765435	WH-9-08
FJ824734	1416-FR-2007
FJ824735	2208-FR-2008
FJ824736	1946-FR-2008
FJ828519	BJ08
FJ846663	Siriraj06/TH/01
FJ846664	Siriraj08/TH/01
FJ846665	Siriraj12/TH/01
FJ846666	Siriraj15/TH/01
FJ846667	Siriraj23/TH/01
FJ846668	Siriraj28/TH/01
FJ846669	Siriraj37/TH/01
FJ846670	Siriraj16/TH/01
FJ846671	Siriraj25/TH/01
FJ846672	Siriraj45/TH/01
FJ846673	Siriraj36/TH/01
FJ846674	Siriraj17/TH/01
FJ846675	Siriraj01/TH/04
FJ846676	Siriraj24/TH/03
FJ846677	Siriraj07/TH/03
FJ846678	Siriraj25/TH/03
FJ846679	Siriraj15/TH/03
FJ846680	Siriraj18/TH/03
FJ846681	Siriraj12/TH/03
FJ846682	Siriraj19/TH/03
FJ862987	Siriraj04/TH/06
FJ862988	Siriraj01/TH/07
FJ862989	Siriraj02/TH/07
FJ862990	Siriraj03/TH/07
FJ862991	Siriraj04/TH/07
FJ862992	Siriraj01/TH/08
FJ862993	Siriraj02/TH/06
FJ862994	Siriraj03/TH/06
FJ868281	20.2.04
FJ960450	0607-6
FJ960451	0607-10
FJ960452	0607-16
FJ960453	0611-3
FJ960454	0613-15
FJ960455	826
FJ960456	840
FJ960457	907
FJ960458	911
FJ960459	938
FJ960460	946
FJ960461	950
FJ960462	953
FJ960463	957
FJ960464	966
FJ960465	973
FJ960466	978
FJ960467	982
FJ960468	992
FJ960469	995
FJ960470	1040
FJ960471	1050
FJ960472	1057
FJ960473	1063
FJ960474	1070
FJ960475	1084
FJ960476	1090
FJ960477	V1070
FJ960478	0607-6
FJ960479	0607-16
FJ960480	0607-10
FJ960481	0611-3
FJ960482	0613-15
FJ960483	V826
FJ960484	V840
FJ960485	V911
FJ960486	V953
FJ960487	V966
FJ960488	V973
FJ960489	V978
FJ960490	V982
FJ960491	V995
FJ960492	V1090
FJ960493	V907
FJ960494	V938
FJ960495	V946
FJ960496	V950
FJ960497	V957
FJ960498	V992
FJ960499	V1040
FJ960500	V1050
FJ960501	V1057
FJ960502	V1063
FJ960503	V1084
FJ969147	TW/1101/08
FJ969148	TW/70243/08
FJ969149	TW/70301/08
FJ969150	TW/70303/08
FJ969151	TW/70377/08
FJ969152	TW/70443/08
FJ969153	TW/70516/08
FJ969154	TW/70629/08
FJ969155	TW/70771/08
FJ969156	TW/70811/08
FJ969157	TW/70831/08
FJ969158	TW/70851/08
FJ969159	TW/70886/08
FJ969160	TW/70902/08
FJ969161	TW/96002/08
FJ969162	TW/96009/08
FJ969163	TW/96016/08
FJ969164	TW/96022/08
FM201321	EV71/MY/2006/1764281
FM201322	EV71/MY/2006/1764283
FM201323	EV71/MY/2006/1764454
FM201324	EV71/MY/2006/1764589
FM201325	EV71/MY/2006/1764739
FM201326	EV71/MY/2006/1765017
FM201327	EV71/MY/2006/1765058
FM201328	EV71/BRU/2006/33930
FM201329	EV71/BRU/2006/34095
FM201330	EV71/BRU/2006/34099
FM201331	EV71/BRU/2006/34111
FM201332	EV71/BRU/2006/34235
FM201333	EV71/BRU/2006/34355
FM201334	EV71/BRU/2006/34456
FM201335	EV71/BRU/2006/34597
FM201336	EV71/BRU/2006/34700
FM201337	EV71/BRU/2006/34701
FM201338	EV71/BRU/2006/35053
FM201339	EV71/BRU/2006/35207
FM201340	EV71/BRU/2006/35245
FM201341	EV71/BRU/2006/35247
FM201342	EV71/BRU/2006/35334
FM201343	EV71/BRU/2006/35335
FM201344	EV71/BRU/2006/35338
FM201345	EV71/BRU/2006/35341
FM201346	EV71/BRU/2006/35379
FM201347	EV71/BRU/2006/35479
FM201348	EV71/BRU/2006/35640
FM201349	EV71/BRU/2006/35641
FM201350	EV71/BRU/2006/35643
FM201351	EV71/BRU/2006/35645
FM201352	EV71/BRU/2006/35646
FM201353	EV71/BRU/2006/35649
FM201354	EV71/BRU/2006/35652
FM201355	EV71/BRU/2006/35653
FM201356	EV71/BRU/2006/35728
FM201357	EV71/BRU/2006/35730
FM201358	EV71/BRU/2006/35731
FM201359	EV71/BRU/2006/35732
FM201360	EV71/BRU/2006/35754
FM201361	EV71/BRU/2006/35755
FM208831	CF078034-07
FM208832	CF139030-07
FN298933	HUN-792-2000
FN298934	HUN-5702-2004
FN298935	HUN-5522-2004
FN298936	HUN-7007-2004
FN298937	HUN-7195-2004
FN298938	HUN-5756-2005
FN598720	NAN10838_FR94
FN598721	LYO28978_FR99
FN598722	ANN1254_FR00
FN598723	ANN1256_FR00
FN598724	CAE1053_FR00
FN598725	CF605_FRA00
FN598726	CF1113_FRA00
FN598727	CF1744_FRA00
FN598728	GRE1244_FRA00
FN598729	LYO11178_FRA00
FN598730	NAN23154_FRA00
FN598731	POI515_FRA00
FN598732	ANG737_FRA03
FN598733	CAE571_FRA03
FN598734	CF097017_FRA03
FN598735	GRE454_FRA03
FN598736	LYO11868_FRA03
FN598737	LYO16282_FRA03
FN598738	LYO23597_FRA03
FN598739	CAE201_FRA04
FN598740	CAE869_FRA04
FN598741	CF192013_FRA04
FN598742	LYO06972_FRA04
FN598743	NAN696_FRA04
FN598744	LYO05158_FRA05
FN598745	POI777_FRA05
FN598746	ANG100 FRA06
FN598747	ANG544_FRA06
FN598748	CAE739_FRA06
FN598749	CF210042_FRA06
FN598750	CF341034_FRA06
FN598751	GRE580_FRA06
FN598752	GRE594_FRA06
FN598753	LYO02346_FRA06
FN598754	LYO03126_FRA06
FN598755	LYO10531_FRA06
FN598756	LYO24365_FRA06
FN598757	LYO25400_FRA06
FN598758	LYO26277_FRA06
FN598759	NAN387_FRA06
FN598760	NAN405_FRA06
FN598761	NAN488_FRA06
FN598762	BRE324_FRA07
FN598763	CF078034_FRA07
FN598764	CF139030_FRA07
FN598765	DIJ494_FRA07
FN598766	GRE29_FRA07
FN598767	LMA55_FRA07
FN598768	LYO23284_FRA07
FN598769	NAN74_FRA07
FN598770	NAN197_FRA07
FN598771	NAN198_FRA07
FN598772	NAN215_FRA07
FN598773	NAN293_FRA07
FN598774	BRE537_FRA08
FN598775	NAN256_FRA08
FN598776	NAN257_FRA08
FN598777	ANG261_FRA09
FN649243	CHE516_GER97
FN649244	BER409_GER00
FN649245	HAN540_GER00
FN649246	ULM705_GER00
FN649247	STU554409_GER03
FN649248	STU562356_GER03
FN649249	STU563449_GER03
FN649250	STU565802_GER03
FN649251	STU565890_GER03
FN649252	ULM275_GER04
FN649253	STU408070_GER04
FN649254	STU499202_GER04
FN649255	STU535542_GER04
FN649256	BER180_GER06
FN649257	ULM63_GER07
FN649258	MUE66_GER07
FN649259	STU537622_GER07
FN649260	STU545774_GER07
FN649261	STU553555_GER07
FN649262	STU563062_GER07
FN649263	STU543078_GER08
FN649264	STU546711_GER08
FN649265	STU572078_GER08
FN649266	STU583939_GER08
FN649267	VIE94_AUT01
FN649268	STY21_AUT03
FN649269	LOW148_AUT04
FN665291	NAN10838_FRA94
FN665292	LYO28978_FRA99
FN665293	ANN1254_FRA00
FN665294	ANN1256_FRA00
FN665295	CAE1053_FRA00
FN665296	CF605_FRA00
FN665297	CF1113_FRA00
FN665298	CF1744_FRA00
FN665299	GRE1244_FRA00
FN665300	NAN23154_FRA00
FN665301	POI515_FRA00
FN665302	ANG737_FRA03
FN665303	CAE571_FRA03
FN665304	CF097017_FRA03
FN665305	GRE454_FRA03
FN665306	LYO11868_FRA03
FN665307	LYO16282_FRA03
FN665308	LYO23597_FRA03
FN665309	CAE201_FRA04
FN665310	CAE869_FRA04
FN665311	CF192013_FRA04
FN665312	LYO6972_FRA04
FN665313	NAN696_FRA04
FN665314	LYO05158_FRA05
FN665315	POI777_FRA05
FN665316	ANG100_FRA06
FN665317	ANG544_FRA06
FN665318	CAE739_FRA06
FN665319	CF210042_FRA06
FN665320	CF341034_FRA06
FN665321	GRE580_FRA06
FN665322	GRE594_FRA06
FN665323	LYO02346_FRA06
FN665324	LYO10531_FRA06
FN665325	LYO24365_FRA06
FN665326	LYO25400_FRA06
FN665327	LYO26277_FRA06
FN665328	NAN387_FRA06
FN665329	NAN405_FRA06
FN665330	NAN488_FRA06
FN665331	BRE324_FRA07
FN665332	CF078034_FRA07
FN665333	CF139030_FRA07
FN665334	DIJ494_FRA07
FN665335	GRE29_FRA07
FN665336	LMA55_FRA07
FN665337	LYO23284_FRA07
FN665338	NAN74_FRA07
FN665339	NAN197_FRA07
FN665340	NAN198_FRA07
FN665341	NAN215_FRA07
FN665342	NAN293_FRA07
FN665343	BRE537_FRA08
FN665344	NAN256_FRA08
FN665345	NAN257_FRA08
FN665346	ANG261_FRA09
FN665347	CHE516_GER87
FN665348	BER409_GER00
FN665349	HAN540_GER00
FN665350	ULM705_GER00
FN665351	STU554409_GER03
FN665352	STU562356_GER03
FN665353	STU563449_GER03
FN665354	STU565802_GER03
FN665355	STU565890_GER03
FN665356	ULM275_GER04
FN665357	STU408070_GER04
FN665358	STU499202_GER04
FN665359	STU535542_GER04
FN665360	BER180_GER06
FN665361	ULM63_GER07
FN665362	MUE66_GER07
FN665363	STU563062_GER07
FN665364	STU545774_GER07
FN665365	STU537622_GER07
FN665366	STU553555_GER07
FN665367	STU246711_GER08
FN665368	STU543078_GER08
FN665369	STU572078_GER08
FN665370	STU583939_GER08
FN665371	VIE94_AUT01
FN665372	VIE21_AUT03
FN665373	VIE148_AUT04
FN675342	15-AUT2001
FN675343	21-AUT2002
FN675344	41-AUT2003
FN675345	54-AUT2004
FN675346	69-AUT2004
FN675347	15-AUT2001
FN675348	21-AUT2002
FN675349	41-AUT2003
FN675350	54-AUT2004
FN675351	69-AUT2004
FR690865	KwAm/05/1984
FR690866	KwAm/05/3833
FR798002	ESP08/54678
FR798003	ESP08/54720
FU773287	FU773287
GM709486	GM709486
GN351302	GN351302
GN351303	GN351303
GN351304	GN351304
GN351305	GN351305
GN351306	GN351306
GN351307	GN351307
GN351308	GN351308
GN351309	GN351309
GN351310	GN351310
GN351311	GN351311
GN352155	GN352155
GN352156	GN352156
GN352157	GN352157
GN352158	GN352158
GN352159	GN352159
GN352160	GN352160
GN352161	GN352161
GN352162	GN352162
GN352163	GN352163
GN352164	GN352164
GQ117124	001-Luan(CHN)-08
GQ117125	1401-Luan(CHN)-08
GQ117126	1404-Luan(CHN)-08
GQ117127	1901-Luan(CHN)-08
GQ117128	1906-Luan(CHN)-08
GQ121133	HN08-HLF2
GQ121134	HN08-HLF3
GQ121417	EV71/Fuyang.Anhui.CHN/17.08/10
GQ121418	EV71/Fuyang.Anhui.CHN/17.08/5
GQ121419	EV71/Fuyang.Anhui.CHN/17.08/6
GQ121420	EV71/Fuyang.Anhui.CHN/17.08/7
GQ121421	EV71/Fuyang.Anhui.CHN/17.08/8
GQ121422	EV71/Fuyang.Anhui.CHN/17.08/9
GQ121423	EV71/Fuyang.Anhui.CHN/17.08/4
GQ121424	EV71/Fuyang.Anhui.CHN/19.08/7
GQ121425	EV71/Fuyang.Anhui.CHN/17.08/11
GQ121426	EV71/Fuyang.Anhui.CHN/17.08/12
GQ121427	EV71/Fuyang.Anhui.CHN/18.08/1
GQ121428	EV71/Fuyang.Anhui.CHN/17.08/13
GQ121429	EV71/Fuyang.Anhui.CHN/18.08/2
GQ121430	EV71/Fuyang.Anhui.CHN/17.08/25
GQ121431	EV71/Fuyang.Anhui.CHN/18.08/3
GQ121432	EV71/Fuyang.Anhui.CHN/17.08/26
GQ121433	EV71/Fuyang.Anhui.CHN/19.08/1
GQ121434	EV71/Fuyang.Anhui.CHN/17.08/16
GQ121435	EV71/Fuyang.Anhui.CHN/19.08/2
GQ121436	EV71/Fuyang.Anhui.CHN/18.08/8
GQ121437	EV71/Fuyang.Anhui.CHN/19.08/3
GQ121438	EV71/Fuyang.Anhui.CHN/17.08/17
GQ121439	EV71/Fuyang.Anhui.CHN/19.08/4
GQ121440	EV71/Fuyang.Anhui.CHN/19.08/5
GQ121441	EV71/Fuyang.Anhui.CHN/19.08/6
GQ150745	NHRI-141-TW
GQ150746	E59-TW
GQ150747	NHRI-040-TW
GQ150748	NHRI-174-TW
GQ150749	NHRI-067-TW
GQ150750	NHRI-152-TW
GQ175176	EV71/Fuyang.Anhui.CHN/17.08/4
GQ175177	EV71/Fuyang.Anhui.CHN/17.08/5
GQ175178	EV71/Fuyang.Anhui.CHN/17.08/6
GQ175179	EV71/Fuyang.Anhui.CHN/17.08/7
GQ175180	EV71/Fuyang.Anhui.CHN/17.08/8
GQ231925	TW/1101/08
GQ231926	TW/1956/05
GQ231927	TW/2429/04
GQ231928	TW/2639/04
GQ231929	TW/2728/04
GQ231930	TW/2815/04
GQ231931	TW/2824/04
GQ231932	TW/2871/04
GQ231933	TW/70516/08
GQ231934	TW/70811/08
GQ231935	TW/70886/08
GQ231936	TW/70902/08
GQ231937	TW/71428/05
GQ231938	TW/71552/05
GQ231939	TW/71595/04
GQ231940	TW/72232/04
GQ231941	TW/96002/08
GQ231942	TW/96016/08
GQ231943	TW/96022/08
GQ253391	H027F/SD/CHN/2008/EV71
GQ253392	H150F/SD/CHN/2008/EV71
GQ253393	H362F/SD/CHN/2008/EV71
GQ253394	H419F/SD/CHN/2008/EV71
GQ253395	H533F/SD/CHN/2008/EV71
GQ253396	H553F/SD/CHN/2008/EV71
GQ253397	H903F/SD/CHN/2008/EV71
GQ253398	H1218F/SD/CHN/2008/EV71
GQ253399	H1261F/SD/CHN/2008/EV71
GQ253400	HZ0137F/SD/CHN/2009/EV71
GQ253401	HZ150F/SD/CHN/2009/EV71
GQ253402	HZ152F/SD/CHN/2009/EV71
GQ253403	HZ0011F/SD/CHN/2009/EV71
GQ253404	HZ0048F/SD/CHN/2009/EV71
GQ253405	HZ121F/SD/CHN/2009/EV71
GQ253406	JN92F/SD/CHN/2009/EV71
GQ253407	JN93F/SD/CHN/2009/EV71
GQ253408	JN94F/SD/CHN/2009/EV71
GQ253409	LC0013H/SD/CHN/2009/EV71
GQ253410	LC0028F/SD/CHN/2009/EV71
GQ253411	LW0004F/SD/CHN/2009/EV71
GQ253412	LW0009F/SD/CHN/2009/EV71
GQ253413	LW0011F/SD/CHN/2009/EV71
GQ253414	LY0004F/SD/CHN/2009/EV71
GQ253415	LY0009F/SD/CHN/2009/EV71
GQ253416	RZ0008F/SD/CHN/2009/EV71
GQ253417	RZ0010F/SD/CHN/2009/EV71
GQ253418	ZB0001F/SD/CHN/2009/EV71
GQ253419	ZB0002F/SD/CHN/2009/EV71
GQ253420	05273/SD/CHN/2005/EV71
GQ253421	05488/SD/CHN/2005/EV71
GQ253422	06272/SD/CHN/2006/EV71
GQ253423	06282/SD/CHN/2006/EV71
GQ279369	SZ/HK08-5
GQ279370	SZ/HK08-6
GQ406338	Beijing0907
GQ406340	Beijing0907
GQ449258	CU1
GQ449259	CU19
GQ449260	CU17
GQ449261	CU15
GQ449262	CU23
GQ449263	CU22
GQ449264	CU26
GQ449265	CU3
GQ449266	CU31
GQ449267	CU5
GQ449268	CU7
GQ449269	CU28
GQ449270	CU24
GQ449271	pCU2
GQ449273	CU8
GQ449274	CU6
GQ449275	CU4
GQ449276	CU33
GQ449277	CU34
GQ449279	CU35
GQ487666	ZH-ETC377/GD/CHN/09
GQ487667	ZH-ETC335/GD/CHN/09
GQ487668	ZH-JC220/GD/CHN/09
GQ487669	ZH-ETC278/GD/CHN/09
GQ487670	ZH-JC215/GD/CHN/09
GQ487671	ZH-ETC222/GD/CHN/09
GQ487672	ZH-ETC153/GD/CHN/09
GQ487673	ZH-ETC368/GD/CHN/09
GQ487674	ZH-ETC352/GD/CHN/09
GQ487675	ZH-JC344/GD/CHN/09
GQ487676	ZH-JC431/GD/CHN/09
GQ487677	ZH-JC414/GD/CHN/09
GQ487678	ZH-ETC351/GD/CHN/09
GQ487679	ZH-ETC321/GD/CHN/09
GQ487680	ZH-ETC287/GD/CHN/09
GQ487681	ZH-ETC275/GD/CHN/09
GQ487682	ZH-JC209/GD/CHN/09
GQ487683	ZH-ETC180/GD/CHN/09
GQ487684	ZH-ETC110/GD/CHN/09
GQ487685	ZH-ETC367/GD/CHN/09
GQ487686	ZH-ETC385/GD/CHN/09
GQ487687	ZH-ETC346/GD/CHN/09
GQ487688	ZH-JC334/GD/CHN/09
GQ487689	ZH-JC426/GD/CHN/09
GQ496527	NIE-2004-11032
GQ855285	EV71/Lanzhou01
GQ855286	EV71/Lanzhou02
GQ855287	EV71/Lanzhou03
GQ855288	EV71/Lanzhou04
GQ855289	EV71/Lanzhou05
GQ855290	EV71/Lanzhou06
GQ855291	EV71/Lanzhou07
GQ855292	EV71/Lanzhou08
GQ855293	EV71/Lanzhou09
GQ855294	EV71/Lanzhou10
GQ891758	GQ891758
GQ892830	GX/LZ 08-04/08/CHN
GQ994988	Anhui1-09-China
GQ994989	Chongqing1-09-China
GQ994990	Chongqing2-09-China
GQ994991	Chongqing3-09-China
GQ994992	Henan2-09-China
GU129022	EV71.H3-TY
GU129023	EV71.H3-TY
GU129024	EV71.H3-TY
GU129025	EV71.H3-TY
GU142870	99.040.0971
GU142871	98.163.0453
GU142872	98.338.1853
GU142873	95.318.0855
GU176408	Nanjing08-1
GU190169	1/GZ/CHN/2008
GU190170	122/GZ/CHN/2008
GU190171	129/GZ/CHN/2008
GU190172	130/GZ/CHN/2008
GU190173	133/GZ/CHN/2008
GU190174	136/GZ/CHN/2008
GU190175	142/GZ/CHN/2008
GU190176	145/GZ/CHN/2008
GU190177	152/GZ/CHN/2008
GU190178	168/GZ/CHN/2008
GU190179	373/GZ/CHN/2009
GU190180	888/GZ/CHN/2008
GU190181	Chen-1/GZ/CHN/2008
GU196833	Henan1-09-China
GU198367	FY08-C30-P2
GU198368	C1/FY08-C30-P9
GU198369	C1/FY08-C30-P11
GU198370	C2/FY08-C30
GU198371	FY08-C30-P14
GU198372	FY08-C30
GU198373	FY08-C30-P3
GU198374	FY08-C30-P4
GU198375	C1/FY08-C30-P7
GU198376	C1/FY08-C30-P19
GU222653	3406/SIN/08
GU222654	3437/SIN/06
GU236109	98.163.0453
GU236110	98.338.1853
GU236111	99.040.0971
GU236112	95.318.0855
GU236113	20.2.04
GU290345	E1
GU290346	E2
GU290347	E4
GU290348	E7
GU290349	E11
GU290350	Eqdne
GU290351	Etang
GU290352	E10
GU350629	Fuyang-0805a
GU353079	Nanjing/JS05/CHN09
GU353080	Nanjing/JS06/CHN09
GU353081	Changzhou/JS10/CHN09
GU353082	Lianyungang/JS12/CHN09
GU353083	Lianyungang/JS13/CHN09
GU353084	Lianyungang/JS14/CHN09
GU353085	Nantong/JS15/CHN09
GU353086	Nantong/JS16/CHN09
GU353087	Taizhou/JS18/CHN09
GU353088	Suqian/JS22/CHN09
GU353089	Nantong/JS23/CHN09
GU353090	Lianyungang/JS24/CHN09
GU353091	Nantong/JS29/CHN09
GU353092	Suzhou/JS30/CHN09
GU353093	Suqian/JS34/CHN09
GU353094	Yangzhou/JS35/CHN09
GU353095	Yangzhou/JS36/CHN09
GU353096	Zhenjiang/JS41/CHN09
GU353097	Zhenjiang/JS42/CHN09
GU353098	Zhenjiang/JS43/CHN09
GU353099	Zhenjiang/JS44/CHN09
GU353100	Zhenjiang/JS45/CHN09
GU353101	Zhenjiang/JS46/CHN09
GU353102	Zhenjiang/JS51/CHN09
GU353103	Zhenjiang/JS56/CHN09
GU353104	Zhenjiang/JS57/CHN09
GU353105	Zhenjiang/JS59/CHN09
GU353106	Zhenjiang/JS60/CHN09
GU366191	Henan10-08-China
GU396280	EV71/Lanzhou01
GU434678	EV71-Hubei-09-China
GU458248	Apiwat(CU50)
GU458249	Wisol(CU44)
GU458250	Satakun(CU40)
GU458251	Jirot(CU53)
GU459070	FY23-K12
GU459071	FY23-K14
GU475127	BJ2008-China-28
GU646387	EV71-C2-F-1971/Kalin/RU/2009
GU646388	EV71-C2F-1974/Kalin/RU/2009
GU646389	EV71-C2-F-1974/Kalin/RU/2009
GU646393	EV71-C2-F-2180/V.Nov/RU/2008
HE573001	CF166105_FRA10
HE573008	CF132027_FRA10
HE573009	CF147018_FRA10
HE573010	CF160019_FRA10
HE573011	CF166110_FRA10
HE573012	CF172048_FRA10
HE573013	CF183019_FRA10
HE573014	CF183083_FRA10
HE573015	CF287026_FRA10
HE775524	KwNs/03/2447
HG421068	MAD-72341-04
HG421069	MAD-3126-11
HG934162	STU116_DEU03
HG934163	CF132027_FRA10
HG934164	CF287026_FRA10
HG934165	CF105003_FRA13
HG934166	BUD4685_HUN04
HG934167	BUD5522_HUN04
HG934168	NAN10838_FRA94
HG934169	LYO28978_FRA99
HG934170	CF1113_FRA00
HG934171	CF1744_FRA00
HG934172	POI515_FRA00
HG934173	ANN1254_FRA00
HG934174	ANN1256_FRA00
HG934175	CAE1053_FRA00
HG934176	GRE1244_FRA00
HG934177	BER409_DEU00
HG934178	ULM705_DEU00
HG934179	STU537622_DEU07
HG934180	NAN387_FRA06
HG934181	VIE94_AUT01
HG934182	CF097017_FRA03
HG934183	CAE571_FRA03
HG934184	STU563449_DEU03
HG934185	ANG737_FRA03
HG934186	STY21_AUT03
HG934187	GRE454_FRA03
HG934188	LYO16282_FRA03
HG934189	CHE516_DEU87
HG934190	LYO23597_FRA03
HG934191	STU554409_DEU03
HG934192	STU562356_DEU03
HG934193	STU565802_DEU03
HG934194	STU565890_DEU03
HG934195	LYO23661_FRA03
HG934196	CAE201_FRA04
HG934197	NAN696_FRA04
HG934198	STU499202_DEU04
HG934199	LAUS148_AUT04
HG934200	BUD4963_HUN04
HG934201	BUD7195_HUN04
HG934202	CAE869_FRA04
HG934203	BUD5702_HUN04
HG934204	ULM275_GER04
HG934205	STU408070_GER04
HG934206	STU535542_GER04
HG934207	LYO06972_FRA04
HG934208	CF192013_FRA04
HG934209	BUD7007_HUN04
HG934210	POI777_FRA05
HG934211	STU85_DEU05
HG934212	LYO05158_FRA05
HG934213	ANG544_FRA06
HG934214	BER180_GER06
HG934215	CF341034_FRA06
HG934216	LYO26277_FRA06
HG934217	CAE739_FRA06
HG934218	GRE580_FRA06
HG934219	CF210042_FRA06
HG934220	ANG100_FRA06
HG934221	GRE594_FRA06
HG934222	NAN405_FRA06
HG934223	NAN488_FRA06
HG934224	LYO24365_FRA06
HG934225	LYO02346_FRA06
HG934226	CF078034_FRA07
HG934227	ULM63_GER07
HG934228	STU83_DEU07
HG934229	GRE29_FRA07
HG934230	STU73_DEU07
HG934231	CF139030_FRA07
HG934232	LYO23284_FRA07
HG934233	MUE66_GER07
HG934234	BRE324_FRA07
HG934235	NAN74_FRA07
HG934236	NAN215_FRA07
HG934237	NAN293_FRA07
HG934238	STU545774_GER07
HG934239	STU553555_GER07
HG934240	STU563062_GER07
HG934241	BUD2419_HUN08
HG934242	STU583939_GER08
HG934243	BRE537_FRA08
HG934244	NAN256_FRA08
HG934245	STU543078_GER08
HG934246	STU546711_GER08
HG934247	BUD3017_HUN08
HG934248	ANG261_FRA09
HG934249	STU33_DEU10
HG934250	GRE222061_FRA10
HG934251	GRE222040_FRA10
HG934252	GRE202075_FRA10
HG934253	GRE202071_FRA10
HG934254	CF183019_FRA10
HG934255	CF166105_FRA10
HG934256	CF160019_FRA10
HG934257	STU41_DEU10
HG934258	STU23_DEU10
HG934259	STU36_DEU10
HG934260	STU21_DEU10
HG934261	STU10_DEU10
HG934262	STU2_DEU10
HG934263	STU1_DEU10
HG934264	CF194008_FRA10
HG934265	CF147018_FRA10
HG934266	CF172048_FRA10
HG934267	CF183083_FRA10
HG934268	CF187073_FRA10
HG934269	CF340072_FRA10
HG934270	CF355018_FRA10
HG934271	CF215017_FRA11
HG934272	CF280001_FRA11
HG934273	CF208033_FRA11
HG934274	CF071024_FRA13
HG934275	CF096036_FRA13
HG934276	CF119026_FRA13
HG934277	AMI198145_FRA13
HG934278	AMI282091_FRA13
HG934279	AMI319096_FRA13
HG934280	CF150006_FRA13
HG934281	CF150007_FRA13
HG934282	CF162007_FRA13
HG934283	CF178119_FRA13
HG934284	CF215019_FRA13
HG934285	CF224001_FRA13
HG934286	CF226001_FRA13
HG934287	CF247040_FRA13
HG934288	CF247044_FRA13
HG934289	CF268096_FRA13
HG934290	CF275047_FRA13
HG934291	CF310034_FRA13
HG934292	CF317008_FRA13
HG934293	CF318003_FRA13
HG934294	CF337021_FRA13
HG934295	TOU155133_FRA12
HG934296	VER052126_FRA13
HM002484	BJ67
HM002485	BJ97
HM002486	BJ110
HM002487	BJ303
HM002488	BJ366
HM002489	BJ398
HM003207	87-2008 Xi'an Shaanxi
HM037792	GD08-EV71-003
HM037793	GD08-EV71-039
HM037794	GD08-EV71-135
HM037795	GD08-EV71-149
HM037796	GD08-EV71-166
HM037797	GD08-EV71-194
HM037798	GD08-EV71-205
HM037799	GD08-EV71-274
HM037800	GD08-EV71-335
HM037801	GD08-EV71-381
HM037802	GD08-EV71-495
HM037803	GD08-EV71-523
HM037804	GD08-EV71-573
HM037805	GD08-EV71-583
HM037806	GD08-EV71-614
HM037807	GD08-EV71-641
HM037808	GD08-EV71-650
HM038010	HN08-HLF4
HM038011	HN08-HLF5
HM038012	HN08-HLF8
HM038013	HN08-HLF14
HM038014	HN08-HLF21
HM038015	HN08-HLF23
HM053669	BJ293
HM053670	BJ393
HM053671	BJ462
HM064456	Fuyang573
HM069131	15s-2008
HM069132	A377
HM069133	45s-2008
HM069134	EV71s
HM069135	3s-2008
HM069136	12s
HM069137	195s
HM069138	224s
HM069139	257s
HM069140	262s
HM069141	XYs-2008
HM107685	40s-2008
HM107686	120s-2009
HM107687	126s-2009
HM107688	183s-2009
