accession	strain
AB213627	1695-Yamagata-01
AB213628	1814-Yamagata-01
AB213629	2779-Yamagata-02
AB213630	452-Yamagata-03
AB213631	638-Yamagata-03
AB213632	828-Yamagata-03
AB213633	944-Yamagata-03
AB213634	946-Yamagata-03
AB213635	1144-Yamagata-03
AB213636	1268-Yamagata-03
AB213637	1469-Yamagata-03
AB213638	1530-Yamagata-03
AB213639	1716-Yamagata-03
AB213640	1725-Yamagata-03
AB213641	1799-Yamagata-03
AB213642	1897-Yamagata-03
AB213643	2091-Yamagata-03
AB213644	2316-Yamagata-03
AB213645	2321-Yamagata-03
AB213646	2399-Yamagata-03
AB213647	2419-Yamagata-03
AB213648	2933-Yamagata-03
AB213649	2934-Yamagata-03
AB213650	2972-Yamagata-03
AB238695	2276/EV71/Hyogo/2003
AB239756	1095/Japan 97
AB239757	1095/Japan 97
AB247285	Fukushima/29/83
AB247286	Fukushima/135/84
AB247287	Fukushima/419/85
AB247288	Fukushima/3302/93
AB247289	Fukushima/1478/89
AB247290	Fukushima/H8-1448-2/96
AB247291	Fukushima/10104/03
AB247292	Fukushima/8269/00
AB247293	Fukushima/8272/00
AB247294	Fukushima/10350/03
AB247295	Fukushima/10013/03
AB247296	Fukushima/10100/03
AB247297	Fukushima/3270/93
AB247298	Fukushima/4838/96
AB247299	Fukushima/10340/03
AB247300	Fukushima/10245/03
AB247301	Fukushima/10262/03
AB247302	Fukushima/8575/00
AB247303	Fukushima/H9-2001/97
AB247304	Fukushima/5360/97
AB247305	Fukushima/H9-1838/97
AB247306	Fukushima/5258/97
AB247307	Fukushima/5747/97
AB247308	Fukushima/H9-2349-1/97
AB247309	Fukushima/8577/01
AB247310	Fukushima/H9-2206/97
AB247311	Fukushima/8270/00
AB247312	Fukushima/4191/95
AB247313	Fukushima/4246/95
AB247314	Fukushima/10054/03
AB247315	Fukushima/9664/03
AB247316	Fukushima/9308/02
AB247317	Fukushima/9952/03
AB247318	Fukushima/10219/03
AB247319	Fukushima/9924/03
AB247320	Fukushima/1705/90
AB247321	Fukushima/1850/90
AB247322	Fukushima/909/87
AB247323	Fukushima/691/86
AB247324	Fukushima/3339/93
AB247325	Fukushima/3466/94
AB247326	Fukushima/10269/03
AB247625	Fukushima/890/87
AB268281	111-04
AB282815	58/EV71/Hyogo/1994
AB282816	60/EV71/Hyogo/1994
AB282817	104/EV71/Hyogo/1994
AB282818	138/EV71/Hyogo/1994
AB282819	170/EV71/Hyogo/1994
AB282820	192/EV71/Hyogo/1994
AB282821	206/EV71/Hyogo/1994
AB282822	209/EV71/Hyogo/1995
AB282823	2340/EV71/Hyogo/2003
AB286954	SA499/2003
AB292124	00-00172
AB292125	00-10256
AB292126	00-10395
AB292127	00-10418
AB292128	03-00129
AB292129	03-00153
AB292130	03-10180
AB292131	04-10289
AB292132	05-10748
AB292133	06-00057
AB433862	Y90-2913
AB433863	Y90-3205
AB433864	Y90-3761
AB433865	Y90-3896
AB433866	Y93-2008
AB433867	Y97-865
AB433868	Y97-1055
AB433869	Y97-1134
AB433870	Y97-1188
AB433871	2147-Yamagata-06
AB433872	2293-Yamagata-06
AB433873	2317-Yamagata-06
AB433874	2498-Yamagata-06
AB433875	2404-Yamagata-06
AB433876	2488-Yamagata-06
AB433877	2753-Yamagata-06
AB433878	2928-Yamagata-06
AB433879	56-Yamagata-07
AB433880	114-Yamagata-07
AB433881	1431-Yamagata-07
AB433882	1571-Yamagata-07
AB433883	1667-Yamagata-07
AB433884	1569-Yamagata-07
AB433885	1638-Yamagata-07
AB433886	1693-Yamagata-07
AB433887	1797-Yamagata-07
AB433888	1694-Yamagata-07
AB433889	1758-Yamagata-07
AB433890	1827-Yamagata-07
AB433891	1897-Yamagata-07
AB433892	1961-Yamagata-07
AB465406	204/Toyama/1983
AB465407	937/Toyama/1989
AB465408	278/Toyama/1994
AB465409	763/Toyama/1997
AB465410	800/Toyama/1997
AB465411	814/Toyama/1997
AB465412	818/Toyama/1997
AB465413	185/Toyama/2000
AB465414	270/Toyama/2003
AB465415	271/Toyama/2003
AB465416	287/Toyama/2003
AB465417	338/Toyama/2006
AB465418	339/Toyama/2006
AB465419	340/Toyama/2006
AB465420	341/Toyama/2006
AB465421	342/Toyama/2006
AB465422	343/Toyama/2006
AB465423	346/Toyama/2006
AB465424	347/Toyama/2006
AB465425	348/Toyama/2006
AB465426	349/Toyama/2006
AB465427	350/Toyama/2006
AB465428	351/Toyama/2006
AB465429	353/Toyama/2006
AB465430	354/Toyama/2006
AB465431	355/Toyama/2006
AB469182	SK-EV006/Malaysia/97
AB469183	EV71-GFP
AB482183	Nagoya
AB491212	5603
AB491213	10076
AB491214	10866
AB491215	12677
AB491216	1134
AB491217	3878
AB491218	365
AB491219	2527
AB491220	265
AB524081	10076
AB524082	10724
AB524083	10745
AB524084	10857
AB524085	11994
AB524086	1834
AB524087	1985
AB524088	5603
AB524089	6303
AB524090	6984
AB524091	10196
AB524092	10227
AB524093	10418
AB524094	10866
AB524095	11123
AB524096	11130
AB524097	11173
AB524098	11347
AB524099	11872
AB524100	11977
AB524101	12702
AB524102	14311
AB524103	15051
AB524104	15213
AB524105	15874
AB524106	16173
AB524107	16730
AB524108	16762
AB524109	16949
AB524110	17000
AB524111	17118
AB524112	17434
AB524113	18544
AB524114	18687
AB524115	20411
AB524116	20574
AB524117	4001
AB524118	4312
AB524119	9443
AB524120	9811
AB524121	10061
AB524122	10390
AB524123	10429
AB524124	10564
AB524125	10761
AB524126	10892
AB524127	10893
AB524128	11121
AB524129	11150
AB524130	11222
AB524131	11289
AB524132	11316
AB524133	11471
AB524134	11590
AB524135	11786
AB524136	11980
AB524137	12288
AB524138	12677
AB524139	12990
AB524140	12991
AB524141	12992
AB524142	13459
AB524143	13715
AB524144	13857
AB524145	14266
AB524146	14965
AB524147	16044
AB524148	17001
AB524149	17325
AB524150	19271
AB524151	20233
AB524152	20557
AB524153	20674
AB524154	2733
AB524155	3948
AB524156	4138
AB524157	4446
AB524158	5640
AB524159	6916
AB524160	8304
AB524161	9206
AB524162	9677
AB524163	9724
AB524164	9923
AB524165	9981
AB524166	10865
AB524167	1134
AB524168	11391
AB524169	1185
AB524170	13089
AB524171	13108
AB524172	13378
AB524173	1416
AB524174	1480
AB524175	14830
AB524176	16068
AB524177	1642
AB524178	18158
AB524179	2016
AB524180	2121
AB524181	216
AB524182	2224
AB524183	2281
AB524184	2295
AB524185	2324
AB524186	24707
AB524187	2684
AB524188	2727
AB524189	2914
AB524190	2969
AB524191	3333
AB524192	3501
AB524193	3564
AB524194	3694
AB524195	3878
AB524196	4043
AB524197	4166
AB524198	4646
AB524199	4682
AB524200	480
AB524201	5980
AB524202	599
AB524203	6187
AB524204	6542
AB524205	6806
AB524206	6874
AB524207	7031
AB524208	7241
AB524209	7765
AB524210	7968
AB524211	924
AB524212	9548
AB524213	9559
AB524214	9612
AB524215	9964
AB524216	9985
AB524217	1034
AB524218	1303
AB524219	1474
AB524220	1478
AB524221	1482
AB524222	1501
AB524223	1550
AB524224	1906
AB524225	1909
AB524226	1911
AB524227	1956
AB524228	2218
AB524229	2222
AB524230	2223
AB524231	2263
AB524232	2264
AB524233	2325
AB524234	2410
AB524235	2458
AB524236	2476
AB524237	2485
AB524238	2527
AB524239	2528
AB524240	2530
AB524241	2531
AB524242	2550
AB524243	2597
AB524244	265
AB524245	2656
AB524246	2682
AB524247	2688
AB524248	2689
AB524249	2742
AB524250	2768
AB524251	2769
AB524252	2786
AB524253	2788
AB524254	2790
AB524255	2793
AB524256	2795
AB524257	2798
AB524258	2970
AB524259	3062
AB524260	3063
AB524261	3064
AB524262	3086
AB524263	3114
AB524264	3128
AB524265	3395
AB524266	3592
AB524267	365
AB524268	3692
AB524269	3693
AB524270	3832
AB524271	3890
AB524272	3890-99
AB524273	3965
AB524274	3973
AB524275	4073
AB524276	4236
AB524277	4359
AB524278	451
AB524279	979
AB524280	10076
AB524281	10724
AB524282	10745
AB524283	10857
AB524284	5603
AB524285	6303
AB524286	6984
AB524287	11130
AB524288	16173
AB524289	17000
AB524290	20574
AB524291	10429
AB524292	10893
AB524293	11150
AB524294	11471
AB524295	11590
AB524296	12677
AB524297	12990
AB524298	12991
AB524299	13459
AB524300	14266
AB524301	17001
AB524302	17325
AB524303	19271
AB524304	20233
AB524305	20308
AB524306	20557
AB524307	4446
AB524308	8304
AB524309	9981
AB524310	1416
AB524311	7031
AB524312	9612
AB524313	1034
AB524314	1303
AB524315	1478
AB524316	1501
AB524317	1907
AB524318	1910
AB524319	1911
AB524320	2222
AB524321	2527
AB524322	2528
AB524323	2689
AB524324	2742
AB524325	3063
AB524326	3064
AB524327	3114
AB524328	3395
AB524329	365
AB524330	3692
AB524331	3693
AB524332	3890
AB524333	3973
AB524334	4236
AB524335	451
AB550332	1095-org
AB550333	1095-LPS1
AB550334	SK-EV006-org
AB550335	SK-EV006-LPS1
AB550336	C7/Osaka-org
AB550337	C7/Osaka-LPS1
AB550338	75-Yamagata-org
AB550339	75-Yamagata-LPS1
AB550340	KED005-org
AB550341	KED005-LPS2
AB552972	10857
AB552973	10076
AB552974	15051
AB552975	11977
AB552976	9443
AB552977	16173
AB552978	20574
AB552979	20557
AB552980	11316
AB552981	11590
AB552982	480
AB552983	9612
AB552984	1416
AB552985	365
AB552986	1034
AB552987	2485
AB552988	3692
AB560876	HA261/Hiroshima/2009
AB560877	HA614/Hiroshima/2009
AB560878	HA635/Hiroshima/2009
AB560879	HA069/Hiroshima/2010
AB560880	HA095/Hiroshima/2010
AB560881	MC007/Hiroshima/2010
AB569429	07-TW-04176
AB569430	08-TW-05004
AB569431	08-TW-05012
AB569432	08-TW-05058
AB569433	08-TW-05061
AB569434	08-TW-05062
AB569435	08-TW-05068
AB569436	08-TW-05082
AB569437	08-TW-05087
AB569438	08-TW-05093
AB569439	08-TW-05096
AB569440	08-TW-05114
AB569441	08-TW-05120
AB569442	08-TW-05124
AB569443	08-TW-05126
AB569444	08-TW-05155
AB569445	08-TW-05197
AB569446	08-TW-05203
AB569447	09-TW-04040
AB575911	10076
AB575912	10857
AB575913	11977
AB575914	17000
AB575915	9443
AB575916	16173
AB575917	10196
AB575918	20574
AB575919	19271
AB575920	17325
AB575921	8304
AB575922	12677
AB575923	20233
AB575924	17001
AB575925	20674
AB575926	20557
AB575927	11316
AB575928	11590
AB575929	6916
AB575930	9724
AB575931	10893
AB575932	11289
AB575933	13459
AB575934	14266
AB575935	480
AB575936	9612
AB575937	1416
AB575938	10098
AB575939	365
AB575940	1474
AB575941	2485
AB575942	3692
AB575943	2531
AB575944	2769
AB575945	2786
AB575946	2798
AB575947	3086
AB575948	10118
AB598072	7/YN/CHN/2010/EV71
AB598073	13/YN/CHN/2010/EV71
AB650472	5112/EV71/Hyogo/2010
AB650473	5115/EV71/Hyogo/2010
AB650474	5121/EV71/Hyogo/2010
AB650475	5165/EV71/Hyogo/2010
AB650476	5193/EV71/Hyogo/2010
AB650477	5197/EV71/Hyogo/2010
AB650478	5209/EV71/Hyogo/2010
AB650479	5218/EV71/Hyogo/2010
AB650480	5229/EV71/Hyogo/2010
AB650481	5232/EV71/Hyogo/2010
AB650482	5235/EV71/Hyogo/2010
AB650483	5253/EV71/Hyogo/2010
AB650484	5257/EV71/Hyogo/2010
AB650485	5275/EV71/Hyogo/2010
AB650486	5286/EV71/Hyogo/2010
AB650487	5290/EV71/Hyogo/2010
AB650488	5306/EV71/Hyogo/2010
AB650489	5313/EV71/Hyogo/2010
AB650490	5316/EV71/Hyogo/2010
AB650491	5348/EV71/Hyogo/2010
AB650492	5406/EV71/Hyogo/2010
AB650493	5418/EV71/Hyogo/2010
AB650494	5420/EV71/Hyogo/2010
AB650495	5421/EV71/Hyogo/2010
AB650496	5425/EV71/Hyogo/2010
AB665728	OC243-08
AB665729	OC091467-10
AB665730	OC091494-10
AB665731	OC091495-10
AB665732	OC209-10
AB665733	OC224-10
AB665734	OC255-10
AB665735	OC257-10
AB665736	OC258-10
AB665737	OC294-10
AB665738	OC303-10
AB665739	OC315-10
AB665740	OC316-10
AB665741	OC365-10
AB665742	OC432-10
AB665743	OC433-10
AB665744	OC439-10
AB665745	OC445-10
AB665746	OC453-10
AB665747	OC511-10
AB665748	OC516-10
AB665749	OC531-10
AB665750	OC547-10
AB665751	OC567-10
AB675638	DY2010-23
AB675639	DY2010-38
AB675640	DY2011-24
AB675641	DY2011-25
AB675642	DY2011-27
AB675643	DY2011-41
AB675644	DY2011-42
AB675645	DY2011-45
AB675646	DY2011-55
AB675647	DY2011-126
AB675648	DY2011-140
AB675649	DY2011-145
AB675650	DY2011-149
AB675651	DY2011-151
AB679718	SC10-25
AB679719	SC10-67
AB679720	SC10-68
AB679721	SC10-70
AB679722	SC10-102
AB679723	SC10-71
AB679724	SC10-90
AB679725	SC10-96
AB679726	SC10-27
AB679727	SC10-53
AB679728	SC10-54
AB679729	SC10-62
AB679730	SC10-64
AB679731	SC10-131
AB679732	SC10-229
AB679733	SC10-227
AB679734	SC10-236
AB679735	SC10-239
AB679736	SC10-246
AB679737	SC10-255
AB679738	SC10-256
AB679739	SC10-259
AB679740	SC10-267
AB679741	SC10-268
AB679742	SC10-274
AB679743	SC10-290
AB679744	SC10-294
AB688662	EV71/22-0111/osaka.JPN/2010
AB688668	EV71/22-0303/osaka.JPN/2010
AB688674	EV71/ME22042/osaka.JPN/2010
AB688700	EV71/22-0111/osaka.JPN/2010
AB725672	5-YN-2007
AB725673	31-YN-2007
AB725674	64-YN-2008
AB725675	86-YN-2008
AB725676	206-YN-2008
AB725677	166-YN-2010
AB725678	176-YN-2010
AB725679	183-YN-2010
AB740166	166-YN-2010AFP
AB740167	176-YN-2010AFP
AB740168	183-YN-2010AFP
AB747373	Nagoya
AB747374	Nagoya
AB747375	02363-Thai-02
AB759911	112-B-YN-2012HC
AB759912	115B-YN-2012HC
AB777928	BrCr
AB830078	179sp/Ishikawa/JPN/2012
AB830079	349sp/Ishikawa/JPN/2013
AB848113	445HFM /Kochi/JPN/2013
AB902838	EV71/Okinawa/173/2010
AB902839	EV71/Okinawa/239/2010
AB902840	EV71/Okinawa/186/2012
AB902841	EV71/Okinawa/192/2012
AB902842	EV71/Okinawa/207/2012
AB902843	EV71/Okinawa/296/2012
AB902844	EV71/Okinawa/382/2012
AB904644	EV71/Okinawa/5007/2012
AB904645	EV71/Okinawa/192/2012
AB904646	EV71/Okinawa/214/2012
AB904647	EV71/Okinawa/296/2012
AB904648	EV71/Okinawa/335/2012
AB904649	EV71/Okinawa/382/2012
AB908262	EV71/25-1034/osaka.JPN/2013
AB920413	EV71/Ishigaki/223/2013
AB921142	EV71/Ishigaki/223/2013
AB935178	A211/10
AB935513	120204/E71/Kobe/2012
AB936432	740-Yamagata-2000
AB936433	741-Yamagata-2000
AB936434	774-Yamagata-2000
AB936435	806-Yamagata-2000
AB936436	891-Yamagata-2000
AB936437	971-Yamagata-2000
AB936438	1117-Yamagata-2000
AB936439	1469-Yamagata-2001
AB936440	454-Yamagata-2003
AB936441	863-Yamagata-2003
AB936442	897-Yamagata-2003
AB936443	929-Yamagata-2003
AB936444	950-Yamagata-2003
AB936445	962-Yamagata-2003
AB936446	965-Yamagata-2003
AB936447	1138-Yamagata-2003
AB936448	1145-Yamagata-2003
AB936449	1238-Yamagata-2003
AB936450	1717-Yamagata-2003
AB936451	1752-Yamagata-2003
AB936452	1898-Yamagata-2003
AB936453	1056-Yamagata-2003
AB936454	1102-Yamagata-2003
AB936455	1186-Yamagata-2003
AB936456	1196-Yamagata-2003
AB936457	1197-Yamagata-2003
AB936458	1232-Yamagata-2003
AB936459	1269-Yamagata-2003
AB936460	1330-Yamagata-2003
AB936461	1302-Yamagata-2003
AB936462	1320-Yamagata-2003
AB936463	1669-Yamagata-2003
AB936464	1670-Yamagata-2003
AB936465	1372-Yamagata-2003
AB936466	1374-Yamagata-2003
AB936467	1486-Yamagata-2003
AB936468	1526-Yamagata-2003
AB936469	1545-Yamagata-2003
AB936470	2035-Yamagata-2003
AB936471	1586-Yamagata-2003
AB936472	1618-Yamagata-2003
AB936473	1629-Yamagata-2003
AB936474	1766-Yamagata-2003
AB936475	1814-Yamagata-2003
AB936476	1828-Yamagata-2003
AB936477	1831-Yamagata-2003
AB936478	1859-Yamagata-2003
AB936479	1860-Yamagata-2003
AB936480	1866-Yamagata-2003
AB936481	1873-Yamagata-2003
AB936482	1934-Yamagata-2003
AB936483	1879-Yamagata-2003
AB936484	1899-Yamagata-2003
AB936485	1905-Yamagata-2003
AB936486	1990-Yamagata-2003
AB936487	2065-Yamagata-2003
AB936488	2102-Yamagata-2003
AB936489	2206-Yamagata-2003
AB936490	1883-Yamagata-2003
AB936491	1929-Yamagata-2007
AB936492	1496-Yamagata-2007
AB936493	1793-Yamagata-2009
AB936494	1825-Yamagata-2009
AB936495	1843-Yamagata-2009
AB936496	1894-Yamagata-2009
AB936497	1930-Yamagata-2009
AB936498	1983-Yamagata-2009
AB936499	2243-Yamagata-2009
AB936500	2255-Yamagata-2009
AB936501	3215-Yamagata-2009
AB936502	3246-Yamagata-2009
AB936503	3264-Yamagata-2009
AB936504	2322-Yamagata-2009
AB936505	2534-Yamagata-2009
AB936506	2950-Yamagata-2009
AB936507	148-Yamagata-2010
AB936508	223-Yamagata-2010
AB936509	945-Yamagata-2010
AB936510	1039-Yamagata-2010
AB936511	520-Yamagata-2010
AB936512	929-Yamagata-2010
AB936513	1407-Yamagata-2010
AB936514	1416-Yamagata-2010
AB936515	1108-Yamagata-2010
AB936516	1702-Yamagata-2010
AB936517	1305-Yamagata-2010
AB936518	1358-Yamagata-2010
AB936519	1362-Yamagata-2010
AB936520	1613-Yamagata-2010
AB936521	1767-Yamagata-2010
AB936522	1801-Yamagata-2010
AB936523	2008-Yamagata-2010
AB936524	1516-Yamagata-2012
AB936525	1518-Yamagata-2012
AB936526	1647-Yamagata-2012
AB936527	1670-Yamagata-2012
AB936528	1682-Yamagata-2012
AB936529	1698-Yamagata-2012
AB936530	1699-Yamagata-2012
AB936531	1701-Yamagata-2012
AB936532	1766-Yamagata-2012
AB936533	1808-Yamagata-2012
AB936534	1809-Yamagata-2012
AB936535	1816-Yamagata-2012
AB936536	1842-Yamagata-2012
AB936537	1870-Yamagata-2012
AB936538	1878-Yamagata-2012
AB936539	2049-Yamagata-2012
AB936540	111-Yamagata-2013
AB936541	1615-Yamagata-2012
AB936542	1656-Yamagata-2012
AB936543	1660-Yamagata-2012
AB936544	1689-Yamagata-2012
AB936545	1749-Yamagata-2012
AB936546	1859-Yamagata-2012
AB936547	2068-Yamagata-2012
AB936548	1888-Yamagata-2012
AB936549	1977-Yamagata-2012
AB936550	2000-Yamagata-2012
AB936551	2093-Yamagata-2012
AB936552	2397-Yamagata-2012
AB936553	2419-Yamagata-2012
AB936554	2457-Yamagata-2012
AB936555	387-Yamagata-2013
AB936556	799-Yamagagta-2013
AB936557	1499-Yamagata-2013
AB936558	813-Yamagata-2013
AB936559	857-Yamagata-2013
